BBIM01	BBIM02	BBIM03	BBIM04	BBIM05	BBIM06	BBIM07	BBIM08	BBIM09	BBIM10	BBIM11	BBIM12	BBIM13	BBIM14	BBIM15	BBIM16	BBIM17	BBIM18	BBIM19	BBIM20	BBIM21	BBIM22	BBIM23	BBIM24	BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20	BFLA01	BFLA02	BFLA03	BFLA04	BFLA05	BFLA06	BFLA07	BFLA08	BFLA09	BFLA10	BFLA11																																																																																																														
RT	Area	RA																																																																																																																																																																		
15.424	2893401.4	5.1041	15.13	708321.4	0.8255	15.132	484543.5	0.2836	15.118	2630.2	0.0022	15.397	1145877	1.1375	15.405	1579683.7	3.5033	15.125	315518.8	0.2024	15.112	4074.9	0.0065	15.433	3723234.8	3.7061	15.121	14023.4	0.0147	15.118	1924.6	0.0023	15.128	411496.3	0.3717	15.119	72243.3	0.0911	15.112	9018.4	0.0195	15.116	7162.6	0.0108	15.126	15673.4	0.0124	15.111	55415.9	0.0759	15.133	537926.8	0.2427	15.116	4994.8	0.0063	15.114	11551	0.0433	15.114	8972.9	0.0165	15.106	12420.8	0.0630	15.106	13969.6	0.0590	15.113	6416.9	0.0191	12.351	3651.9	0.016528399	12.695	1675.2	0.00395672	10.767	2799	0.005438148	10.766	4424	0.018622417	10.764	19804.4	0.055817417	10.769	7261.8	0.035920367	10.768	1784.1	0.011776138	10.768	5664.2	0.007261809	10.767	18210.9	0.06628712	10.763	2277.9	0.03258431	10.764	2768.6	0.023833006	10.763	16603.3	0.079174202	10.769	9415	0.022436158	10.768	3090.7	0.009192433	10.765	3136.3	0.019939669	10.764	13490.8	0.069982171	10.766	18449.7	0.087571543	10.763	6492.4	0.011779932	10.765	23484.4	0.023201811	10.759	4555.7	0.018246257	15.664	4811591.6	5.52	15.632	1780689	5.31	15.665	4933540.8	8.38	15.664	4811591.6	5.39	15.669	5316856	10.27	15.657	3924098.5	7.82	15.668	5202620.2	8.90	15.655	3769254.6	9.37	15.630	1646968.4	4.43	15.666	4934373.5	10.50	15.649	3203383	4.88
15.62	1420044.4	2.5050	15.447	5499978.7	6.4101	15.49	12569002.4	7.3565	15.437	4507382.3	3.7472	15.601	596448.1	0.5921	15.602	568879.9	1.2616	15.459	7507707.5	4.8152	15.418	2389874.7	3.8300	15.629	1936542.9	1.9276	15.447	5385822.4	5.6503	15.438	4431621.1	5.2696	15.447	5114271.4	4.6192	15.43	3231840.9	4.0741	15.409	1487566	3.2096	15.425	2641252.8	3.9814	15.462	6974617.8	5.5173	15.404	1024944.6	1.4043	15.499	13905412.7	6.2751	15.423	2480164.4	3.1154	15.415	1780746.2	6.6793	15.416	1986302	3.6592	15.387	232831.9	1.1808	15.382	15606.1	0.0659	15.414	1694813.9	5.0450	12.694	3526.8	0.0159622	13.322	5723	0.013517375	12.354	1097.8	0.002132904	13.282	2531.1	0.01065443	12.355	1209.8	0.003409743	13.269	1648.1	0.008152298	12.084	1685.4	0.011124658	12.08	1938.5	0.002485261	12.079	2380.9	0.008666403	12.079	1843.8	0.02637471	12.08	2123.1	0.018276333	12.078	1753.3	0.008360755	12.08	2267.7	0.00540398	12.079	2404.9	0.00715271	12.079	1891.9	0.012028141	12.079	2047.8	0.010622757	12.079	2328.4	0.011051756	12.074	2734.5	0.004961528	12.074	2501.1	0.002471004	12.074	1747.6	0.006999398	16.356	8366307.6	9.59	16.298	2071191.1	6.18	16.309	2779186.5	4.72	16.356	8366307.6	9.38	16.317	3473492.6	6.71	16.335	5426009.4	10.81	16.344	6470731.9	11.07	16.302	2276740.7	5.66	16.330	4987082.1	13.42	16.321	3910053.6	8.32	16.319	3737324.6	5.69
15.751	7938.5	0.0140	15.625	1679543.8	1.9575	15.673	5560757.8	3.2546	15.63	2139965.3	1.7790	15.747	8446.3	0.0084	15.747	2111.3	0.0047	15.652	3910230.1	2.5079	15.612	1020157.6	1.6349	15.755	3020.5	0.0030	15.619	1181920.3	1.2400	15.623	1467266.4	1.7447	15.625	1446395	1.3064	15.629	1867868.9	2.3547	15.614	947803.1	2.0450	15.621	1241513.3	1.8715	15.65	3255254.3	2.5751	15.602	234470.6	0.3213	15.671	5222550.3	2.3568	15.616	925734.6	1.1628	15.613	805292.2	3.0205	15.632	2111506.2	3.8899	15.599	247276.8	1.2540	15.594	22506.1	0.0950	15.609	613781	1.8271	14.295	2767	0.012523366	14.294	1930.5	0.004559723	12.69	7689.8	0.014940433	13.321	2524.6	0.010627069	13.265	26531	0.074775903	13.326	8952.7	0.044284375	12.366	3351.4	0.022121265	12.694	5030.6	0.0064495	12.357	1466.2	0.005336923	12.353	1004.4	0.014367479	12.355	1302.3	0.01121062	12.358	1998.2	0.009528581	12.354	1258	0.002997842	12.352	1040.3	0.003094085	12.352	1132.9	0.007202643	12.356	1634.2	0.008477248	12.356	1596.6	0.007578266	12.347	1210	0.002195447	12.353	1832.3	0.001810252	12.346	1306.9	0.005234329	16.597	171611.7	0.20	16.583	132572.7	0.40	16.587	225570.8	0.38	16.597	171611.7	0.19	16.588	174382.4	0.34	16.591	183148.4	0.36	16.594	171502.6	0.29	16.584	137749.5	0.34	16.589	98269.7	0.26	16.589	147001	0.31	16.588	179680.3	0.27
16.073	994915	1.7551	15.756	3184.6	0.0037	15.767	11450.5	0.0067	15.753	9202	0.0076	16.111	4421852.7	4.3894	16.086	2050800.6	4.5481	15.759	25766.3	0.0165	15.75	10706.4	0.0172	16.139	7246843.3	7.2135	15.753	13749.2	0.0144	15.754	2830.3	0.0034	15.758	6834.7	0.0062	15.756	5147.7	0.0065	15.752	2872.8	0.0062	15.755	4158.8	0.0063	15.762	19069.2	0.0151	15.755	3617.5	0.0050	16.162	13868111.3	6.2582	15.755	3875.9	0.0049	15.753	2131.9	0.0080	15.755	3824.5	0.0070	15.751	2835.9	0.0144	15.751	2863.6	0.0121	15.753	3220.6	0.0096	14.784	22169.4	0.100338094	14.784	145988.5	0.344815891	13.265	5319.2	0.010334619	14.296	2005.5	0.008441966	14.293	2018.1	0.005687884	14.302	1550.5	0.007669521	13.274	2181.8	0.014401198	13.269	6059.6	0.007768733	12.692	2837.5	0.010328413	12.687	5028.9	0.071936099	12.69	11224.9	0.096627576	12.688	1747.2	0.008331667	12.693	4380.2	0.010438116	12.692	3624.2	0.010779181	13.278	3443	0.021889577	12.688	1471.5	0.007633259	12.689	1538.9	0.007304392	12.688	2181	0.003957247	12.694	5412.5	0.005347371	13.257	4882.4	0.019554739	17.356	14585.4	0.02	16.903	198362	0.59	16.945	587301	1.00	16.938	441547.5	0.49	16.942	588349.7	1.14	16.927	438148.7	0.87	16.935	520348.1	0.89	16.910	263365.4	0.66	16.931	469038.8	1.26	16.943	661709.1	1.41	16.945	589223	0.90
16.274	785365.7	1.3854	16.077	1259192.8	1.4676	16.091	2392981.3	1.4006	16.131	6356750.9	5.2846	16.305	3062038.4	3.0395	16.275	1058537.9	2.3476	16.13	6177014.3	3.9617	16.075	1115364.5	1.7875	16.313	3095085.1	3.0808	16.127	5668103.5	5.9465	16.152	9215407.1	10.9580	16.133	6594124.5	5.9558	16.102	2768597.3	3.4901	16.079	1189686.5	2.5669	16.101	2685963.3	4.0488	16.092	1986315.1	1.5713	16.147	8062069.5	11.0464	16.357	8662173.7	3.9090	16.168	11288512.3	14.1798	16.07	77442.3	0.2905	16.067	161289.3	0.2971	16.058	171.5	0.0009	16.603	14733.5	0.0622	16.076	53161.4	0.1582	14.986	3548.4	0.016059961	14.985	13403.6	0.031658482	13.321	4930.2	0.009578835	14.761	53390.1	0.224740663	14.766	86768.2	0.244550544	14.758	3330.6	0.016474755	14.3	1682.7	0.011106837	14.802	275779.2	0.353563772	13.282	26344.8	0.095894267	13.259	4228.5	0.060486745	13.26	5853	0.05038452	13.262	16592.9	0.079124608	13.298	13904	0.033133547	13.321	9355	0.027823862	13.322	7018.6	0.044622185	13.264	18570.5	0.096332604	13.287	24184.3	0.114790835	13.269	2862.7	0.005194136	13.261	3494.4	0.003452352	14.752	53110.7	0.21271626	17.498	16273.8	0.02	17.112	404369.3	1.21	17.174	1617552.6	2.75	17.178	1578425.9	1.77	17.161	1303916.5	2.52	17.151	1123568.2	2.24	17.143	860502.9	1.47	17.137	935523.2	2.33	17.145	1009559.6	2.72	17.162	1319780.1	2.81	17.161	1151952.6	1.75
17.435	19305151.5	34.0552	16.283	666798.7	0.7771	16.292	1680392.5	0.9835	16.323	4364696.7	3.6285	16.579	13325.6	0.0132	16.573	8380.1	0.0186	16.334	5797940.4	3.7186	16.274	724404.1	1.1609	16.585	5636.5	0.0056	16.294	1642768.2	1.7234	16.319	3271402.8	3.8900	16.302	2207262.1	1.9936	16.296	1926926.8	2.4291	16.28	1079635.9	2.3294	16.289	1386272.7	2.0897	16.29	1344928.9	1.0639	16.306	2041880	2.7977	16.626	394603.6	0.1781	16.338	4559907.6	5.7278	16.29	58837.8	0.2207	16.274	518427.1	0.9551	16.602	11295.6	0.0573	16.681	11245.5	0.0475	16.287	77465.8	0.2306	15.184	2742	0.012410216	15.069	2370.9	0.005599921	14.3	10251.8	0.019918117	14.974	8372.9	0.035244944	14.974	9523.6	0.026841649	14.974	34832.9	0.172300334	14.75	11995.7	0.079178868	14.994	21963.9	0.028158902	14.764	53878.1	0.196114638	14.742	3494.3	0.049984352	14.745	17076.4	0.146999184	14.753	40400.5	0.192653107	14.78	97714.7	0.232856344	14.771	61605.6	0.183228833	14.292	1504.8	0.009567074	13.325	1176.1	0.006100901	14.292	1670.5	0.007929032	13.316	4402.1	0.007987252	13.328	21564.1	0.021304618	14.967	6863.5	0.027489339	17.656	64971.7	0.07	17.170	1025784.3	3.06	17.354	6636.8	0.01	17.356	14585.4	0.02	17.355	12306.3	0.02	17.354	3283	0.01	17.355	6734.4	0.01	17.352	6411.8	0.02	17.354	5773.1	0.02	17.355	6164.7	0.01	17.355	4516.8	0.01
17.529	4636588.7	8.1792	16.612	586089.6	0.6831	16.608	406625.8	0.2380	16.584	20420.3	0.0170	16.683	1378	0.0014	16.678	1414.3	0.0031	16.605	238052.1	0.1527	16.576	12005.9	0.0192	17.515	44279691.4	44.0759	16.587	23068.3	0.0242	16.585	10322.7	0.0123	16.612	359536.7	0.3247	16.604	63725.8	0.0803	16.581	13865.9	0.0299	16.584	14254.7	0.0215	16.595	25729.4	0.0204	16.604	46838.5	0.0642	16.982	1792.9	0.0008	16.593	12789.6	0.0161	16.602	18503.9	0.0694	16.581	13002.6	0.0240	16.681	10994	0.0558	16.945	223451.8	0.9435	16.599	13796.9	0.0411	15.36	117868.5	0.533469584	15.36	298191.4	0.704309813	14.788	187807.8	0.364889845	15.358	230726	0.971219648	15.07	1124.7	0.003169894	15.076	4475.4	0.022137488	14.972	1688.6	0.01114578	15.072	5099.4	0.006537705	14.979	13555.8	0.049342698	14.964	8697	0.12440658	14.846	1067.9	0.009192829	14.969	9286.6	0.044283916	14.989	18292.2	0.043590727	14.983	8872.4	0.026388502	14.748	20472.9	0.13016065	14.293	1357.4	0.007041376	14.763	54572.4	0.259028021	14.797	250015.2	0.453632239	14.838	370973.3	0.366509355	15.298	1355.6	0.00542938	18.141	128159.4	0.15	17.376	1217844.5	3.63	17.505	14220.1	0.02	17.498	16273.8	0.02	17.501	22301.4	0.04	17.499	34042.9	0.07	17.498	22524.8	0.04	17.496	12898.3	0.03	17.497	18443.9	0.05	17.499	20762.2	0.04	17.497	13481.2	0.02
18.066	2342295.3	4.1319	16.842	4648.7	0.0054	16.688	1973	0.0012	16.916	1688.5	0.0014	17.232	5378.4	0.0053	16.908	1839.4	0.0041	16.963	2816.2	0.0018	16.682	1684	0.0027	17.58	3733157	3.7160	16.814	1947.8	0.0020	16.815	2249.5	0.0027	17	28864.4	0.0261	16.968	13857.6	0.0175	16.683	1156.4	0.0025	16.688	1081.7	0.0016	16.921	1284.1	0.0010	16.956	18158	0.0249	17.179	12534.4	0.0057	16.927	7357.3	0.0092	16.683	6461.6	0.0242	16.685	3348.7	0.0062	16.93	211956.8	1.0749	17.024	36972.8	0.1561	16.684	4052.2	0.0121	15.588	36242	0.164030294	15.46	3384.5	0.007993982	14.987	16445.8	0.031952376	15.459	3301.8	0.01389862	15.356	177262.5	0.499602859	15.307	1525.3	0.00754487	15.075	9978.3	0.065862809	15.354	4262.9	0.005465267	15.071	1902.5	0.006925042	15.072	1614.2	0.023090388	14.97	27744.4	0.238832785	15.07	1426.7	0.006803336	15.07	2046.1	0.004875903	15.07	1750	0.005204891	15.071	1105.8	0.00703035	14.753	39348	0.2041138	14.975	7372.4	0.034993113	14.987	18029.6	0.032713242	15.063	6732.5	0.006651487	15.349	95755.1	0.383513431	18.196	789337.2	0.91	17.496	49801.6	0.15	17.655	80819.4	0.14	17.656	64971.7	0.07	17.655	91146.4	0.18	17.654	80836.6	0.16	17.656	74415.6	0.13	17.653	55322.2	0.14	17.653	34400.8	0.09	17.655	76921.9	0.16	17.655	36902.7	0.06
18.366	48322.2	0.0852	16.972	47718.1	0.0556	16.966	3834.6	0.0022	17.235	8077.6	0.0067	17.483	34836194.1	34.5802	17.417	16438408.3	36.4560	17.531	49459647.9	31.7219	16.918	2741.1	0.0044	18.158	12851635.1	12.7925	16.97	21589.9	0.0227	16.986	38281.9	0.0455	17.155	9167.8	0.0083	17.212	10643.1	0.0134	16.915	8149.4	0.0176	16.951	8787.4	0.0132	17.155	1788.6	0.0014	17.18	24443.6	0.0335	17.635	94543234.5	42.6644	17.174	12054.9	0.0151	16.929	127095.1	0.4767	16.932	8025.8	0.0148	17.006	22910.6	0.1162	17.18	417616.9	1.7634	16.932	37627.1	0.1120	16.05	1358410.1	6.148126696	15.59	63964.9	0.151081174	15.072	4432.9	0.008612636	15.589	44935.2	0.189150547	15.459	3459.9	0.009751504	15.361	1516	0.007498868	15.308	12839.4	0.084747798	15.461	8545.2	0.010955406	15.304	2490.1	0.009063888	15.304	8289.8	0.118581771	15.072	1479.3	0.012734294	15.304	2329.6	0.011108889	15.303	2017	0.004806557	15.355	123814.8	0.368252908	15.304	2391.9	0.015206994	14.969	8206.9	0.04257247	15.07	1469.5	0.006974985	15.064	4023	0.007299406	15.35	53791	0.05314373	15.453	1002.6	0.004015562	18.280	683253.9	0.78	17.655	82493.4	0.25	18.140	248825.7	0.42	18.141	128159.4	0.14	18.137	103705.9	0.20	18.136	82433.5	0.16	18.140	32829.4	0.06	18.134	71168.3	0.18	18.134	22636.1	0.06	18.134	41997.8	0.09	18.140	41693.9	0.06
