reference	GSL5	GSL10	GSL15	GSL20	GSL25	GSL30	GSL35	GSL40	GSL45	GSL50	GSL55	GSL60	GSL65	GSL70	GSL75	GSL80	GSL85	GSL90	GSL95	GSL100	GSL105	GSL110	GSL115	GSL120	GSL125	GSL130	GSL135	GSL140	GSL145	GSL150	GSL155	GSL160	GSL165	GSL170	GSL175	GSL180	GSL185	GSL190	GSL195	GSL200	GSL205	GSL210	GSL215	GSL220	GSL225	GSL230	GSL235	GSL240	GSL245	GSL250	GSL255	GSL260	GSL265	GSL270	GSL275	GSL280	GSL285	GSL290	GSL295	GSL315	GSL320	GSL325	GSL330	GSL335	GSL340	GSL345	GSL350	GSL355																																																																					
Time	Area																																																																																																																																								
14.371	100	4.642	533	4.835	2188	4.313	1143	5.487	1405	4.843	728	4.35	1318	4.65	660	4.649	370	4.337	1871	4.642	1338	4.311	1776	4.023	487	4.833	782	4.022	586	4.312	1475	4.023	561	4.647	700	4.016	212	5.486	1824	4.645	461	4.316	1355	4.648	547	5.482	2414	4.646	1368	4.648	2126	5.017	782	4.841	613	4.027	685	4.834	486	5.481	1793	4.029	656	5.48	2156	4.856	7441	4.647	635	5.48	1631	5.478	1366	4.311	806	5.474	2041	4.307	931	4.303	1483	4.015	209	4.633	1578	5.465	1191	4.82	716	4.013	139	4.301	813	4.821	440	4.014	174	4.158	529	4.3	943	8.778	411	4.303	638	4.633	826	4.329	2281	5.181	6585	4.637	1352	4.019	449	4.47	943	4.299	524	5.459	1487	7.324	491	7.325	715	5.674	468	8.281	530	4.63	1154	7.323	340	5.459	2162	5.673	372
		5.48	1723	5.51	4986	4.386	8226	5.7	639	5.027	1314	5.464	1198	4.839	1198	5.487	1450	4.835	771	4.832	2844	4.382	12622	4.867	7757	5.481	2500	4.225	621	4.383	10903	4.227	635	5.48	1667	4.157	636	5.698	1019	4.836	301	4.387	10164	4.836	1539	5.695	1353	4.836	780	4.838	471	5.485	2674	5.487	2166	4.174	704	5.478	1838	5.693	792	4.168	213	5.692	1004	5.01	684	5.481	1721	5.693	878	5.69	570	4.382	6148	5.687	1015	4.378	6931	4.373	10667	4.856	5532	4.823	411	5.678	582	5.464	2548	4.851	6892	4.372	6259	5.464	1593	4.854	5588	4.822	587	4.371	7185	9.986	383	4.373	5030	5.464	1961	5.441	2290	5.473	2417	4.828	660	4.226	833	4.517	961	4.373	4109	5.673	698	7.845	559	7.847	878	5.954	405	9.75	265	5.083	1404	7.844	496	5.671	1060	5.954	392
		5.693	876	5.694	857	4.514	7054	5.982	761	5.334	313	5.618	1336	5.514	5634	5.7	733	5.493	4528	5.507	4772	4.509	14242	5.01	1342	5.694	1283	4.648	1380	4.51	12386	4.868	8732	5.694	811	4.212	1050	5.981	993	5.015	1321	4.513	8475	5.511	3902	5.977	1442	5.511	4284	5.019	1016	5.698	1374	5.699	1047	4.222	1319	5.691	906	5.976	850	4.836	946	5.973	1173	5.555	9823486	5.692	916	5.975	849	5.972	574	4.509	5685	5.969	1065	4.506	6889	4.5	6341	4.999	1125	5.467	2684	5.959	587	5.677	1240	4.995	1035	4.499	4768	5.677	807	4.996	911	4.997	1109	4.498	5609	10.477	2972	4.499	6480	5.677	942	5.592	2380	5.547	268	5.005	722	4.641	502	4.639	3898	4.5	3706	5.954	785	9.747	759	8.617	317	7.327	1050	10.473	496	5.166	1014	9.749	182	5.952	1194	7.326	1011
		5.975	921	5.976	1116	4.632	3837	7.355	2974	5.491	2404	6.347	563	5.7	1326	5.981	778	5.608	21220	5.693	980	4.628	6306	5.183	443	5.976	1354	4.866	8818	4.628	5934	5.01	1573	5.975	826	4.637	609	6.342	516	5.327	537	4.633	4734	5.696	704	6.558	828	5.696	1078	5.187	291	5.979	1448	5.98	1048	4.838	3239	5.971	891	6.328	1839	5.01	546	6.327	1143	5.699	4556	5.974	880	6.558	540	6.325	2059	4.627	3274	6.552	718	4.625	3469	4.619	5308	5.248	508	5.679	1257	6.317	711	5.958	1368	5.246	479	4.618	2962	5.957	803	5.246	526	5.311	449	4.617	3526	10.619	273	4.618	1676	5.958	1019	6.322	967	5.685	4512	5.178	626	4.859	8341	4.721	710	4.618	2085	7.324	2357	10.47	896	8.666	288	7.848	1868	11.498	412	5.458	1045	10.47	889	6.537	630	7.848	1624
		6.333	446	6.336	301	4.82	4321	7.402	767	5.704	1160	8.28	1230	5.981	1813	6.334	681	5.694	411	5.974	1341	4.821	4107	5.26	612	6.557	1220	5.01	1386	4.821	3580	5.259	699	6.557	589	4.827	1724	6.563	720	5.482	2362	4.82	5401	5.977	832	6.971	647	5.976	1175	5.328	651	6.56	962	6.561	1050	5.012	869	6.555	783	7.345	3117	5.482	3343	6.556	667	5.841	1143	6.332	941	7.345	3039	7.078	463	4.816	2567	7.338	3634	4.812	3088	4.807	5681	5.398	286	5.961	1430	7.329	2064	6.541	1201	5.552	12273200	4.804	3307	6.541	704	5.398	300	5.464	3994	4.803	3692	10.91	949	4.805	2213	6.541	708	8.25	1765	5.967	1351	5.472	2118	5.001	1558	4.825	475	4.804	1779	7.378	519	10.715	564	9.749	301	7.9	383	12.055	1499	5.67	1036	10.614	618	7.325	3538	7.901	321
		6.555	675	6.396	814	5.131	964	7.876	3972	5.986	1307	8.54	561	6.341	715	6.559	559	5.956	1314	6.331	399	5.021	340	5.404	760	6.718	651	5.259	659	5.129	1798	5.41	302	7.349	3199	5	800	7.353	3589	5.696	1214	5.131	1490	6.341	463	7.094	318	6.336	538	5.484	2849	6.721	834	6.971	1756	5.512	11680	6.988	1372	7.397	700	5.694	1591	7.342	3658	5.977	1596	6.557	548	7.391	886	7.34	2533	5.454	4051	7.384	960	5.451	4448	5.118	1337	5.563	14429347	6.318	901	7.381	577	6.699	613	5.688	6533	5.444	3181	7.327	2694	5.56	14522476	5.678	1991	5.442	4038	11.176	1182	5.443	3302	7.327	3779	8.507	1043	6.136	912	5.684	901	5.251	746	4.89	1870	5.444	2212	7.845	3115	11.027	350	10.472	1384	7.99	412	12.983	653	5.952	448	11.339	301	7.375	969	7.991	376
		6.718	274	6.568	3404	5.462	4813	7.923	757	6.34	530	8.661	419	6.403	1062	7.352	2958	6.223	1177	6.392	912	5.131	1731	5.592	21009111	6.967	1232	5.414	495	5.458	6782	5.599	23330409	7.4	827	5.5	10096	7.401	892	5.978	1321	5.332	1369	6.399	658	7.349	4355	6.394	808	5.696	1341	6.975	706	7.351	3690	5.612	464	7.341	2999	7.867	4056	5.84	319	7.39	892	6.393	11417	7.343	3243	7.866	4382	7.393	563	5.51	24289	7.859	5035	5.506	27036	5.447	5740	5.694	7310	6.541	827	7.85	2798	6.948	2085	5.829	1755	5.499	19683	7.377	784	5.691	7399	5.824	438	5.497	24747	11.42	276	5.498	20426	7.374	1086	8.628	712	6.546	987	5.964	1105	5.402	376	4.997	481	5.499	12601	7.892	610	11.34	582	10.716	893	8.279	924	13.529	934	7.324	1238	11.597	248	7.517	252	8.28	1070
		6.971	389	6.719	270	5.517	27698	8.019	942	6.566	1162	9.743	1438	6.57	4519	7.401	753	6.339	8023	6.564	3893	5.326	362	5.712	10497	7.005	1033	5.597	23061554	5.513	52443	5.715	10974	7.869	4425	5.6	313	7.874	4821	6.327	1295	5.462	5583	6.566	2790	7.397	1269	6.569	3224	5.975	1993	7.097	446	7.398	1093	5.698	2593	7.388	817	7.913	753	5.974	1832	7.534	265	6.552	38614	7.396	732	7.912	814	7.862	3130	5.768	3206	7.904	964	5.764	3529	5.502	35454	5.833	2047	6.702	634	7.897	522	7.327	4135	5.962	2216	5.756	3199	7.684	849	5.83	2055	5.958	2067	5.755	3743	11.501	1263	5.755	2695	7.518	253	8.896	324	6.707	636	6.327	693	5.584	20877768	5.088	9785	5.636	874	7.988	813	11.416	497	10.912	522	8.618	598	14.344	12815	7.844	2176	12.052	2082	7.584	563	8.618	524
		7.348	3373	6.97	1269	5.654	2464	8.278	1099	6.729	350	9.84	359	6.723	586	7.873	3985	6.498	546	6.717	465	5.457	8380	5.849	2659	7.097	790	5.714	9707	5.652	2202	5.851	3181	7.916	807	5.685	2112	7.921	908	6.558	841	5.517	34121	6.972	1802	7.541	292	6.971	2141	6.147	2261	7.351	4881	7.545	294	5.844	563	7.535	192	8.009	1076	6.333	896	7.603	531	6.97	7383	7.866	4037	8.007	1006	7.909	618	5.885	1850	8.001	1217	5.887	2497	5.642	1039	5.966	2247	6.952	681	7.992	613	7.375	1239	6.379	15071	5.885	2001	7.848	3741	5.964	2269	6.318	719	5.881	2899	11.605	315	5.888	2364	7.587	549	9.71	2525	6.96	674	6.546	974	5.703	10052	5.176	20754	5.756	2092	8.277	959	11.495	697	11.027	588	9.595	903	14.513	259	7.893	429	12.211	717	7.846	4846	8.668	368
